face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces\497_face0.jpg,East Asian,Asian,Female,20-29,"[2.3504763e-03 8.3979839e-06 8.8464597e-04 9.5872986e-01 3.7920166e-02
 1.0088739e-05 9.6450123e-05]",[1.7213339e-03 3.6422833e-05 9.9820989e-01 3.2368895e-05],[0.00914165 0.9908584 ],"[5.6703504e-07 3.3759986e-04 1.3624063e-01 7.7523100e-01 8.4372588e-02
 3.7039027e-03 1.0293760e-04 1.0236724e-05 4.7974987e-07]"
detected_faces\498_face0.jpg,Middle Eastern,Indian,Male,30-39,"[4.6268258e-02 1.4572491e-02 1.3396935e-01 2.5881107e-05 2.2055005e-04
 3.1733760e-01 4.8760587e-01]",[0.38106444 0.08525385 0.00630467 0.527377  ],[9.9998271e-01 1.7298014e-05],"[1.2779847e-07 7.8620650e-07 5.6206052e-05 2.3151336e-02 6.5595770e-01
 3.1534439e-01 5.4546650e-03 3.4332621e-05 4.8314149e-07]"
detected_faces\499_face0.jpg,East Asian,Asian,Female,40-49,"[4.5259501e-04 7.3476754e-06 5.7029090e-04 9.2975450e-01 6.9144346e-02
 1.7311186e-05 5.3456493e-05]",[1.2049016e-03 2.2858178e-05 9.9871939e-01 5.2912495e-05],[0.29219866 0.70780134],"[2.3465789e-05 1.2743130e-04 1.1785502e-03 2.1655619e-02 1.4319862e-01
 3.9911985e-01 3.2277343e-01 1.0673307e-01 5.1898798e-03]"
detected_faces\49_face0.jpg,Southeast Asian,Asian,Female,10-19,"[4.1723557e-05 4.0396047e-03 1.7089689e-03 3.6333118e-02 9.5519221e-01
 2.6745372e-03 9.7913107e-06]",[7.3910407e-05 6.0805473e-03 9.7870541e-01 1.5140108e-02],[0.35135722 0.6486428 ],"[8.9567089e-05 5.5528712e-02 6.3857216e-01 2.1010101e-01 7.9845615e-02
 1.3815929e-02 1.6074990e-03 3.7918854e-04 6.0389331e-05]"
detected_faces\4_face0.jpg,Middle Eastern,Indian,Female,20-29,"[0.15882917 0.00436208 0.22149558 0.00206689 0.0155611  0.09814107
 0.49954408]",[0.06428266 0.02730654 0.02362832 0.8847825 ],[0.02422612 0.97577393],"[6.9748859e-07 4.6228871e-04 8.2531847e-02 7.8783196e-01 1.2629898e-01
 2.8147085e-03 5.7207406e-05 2.1560477e-06 1.0961598e-07]"
detected_faces\500_face0.jpg,East Asian,Asian,Male,40-49,"[8.97982565e-04 3.49576032e-04 1.07179617e-03 8.75108123e-01
 1.21781185e-01 1.15797884e-04 6.75474294e-04]",[4.1364288e-04 5.0974268e-05 9.9947852e-01 5.6837020e-05],[0.9835656 0.0164344],"[0.00045192 0.00268441 0.01432106 0.10008945 0.2604906  0.35252342
 0.22558257 0.04244765 0.00140886]"
detected_faces\501_face0.jpg,White,White,Male,3-9,"[0.5432959  0.00172207 0.17233711 0.01788204 0.00584307 0.00245776
 0.25646213]",[0.9882679  0.00391146 0.00250473 0.00531594],[0.5157367  0.48426333],"[1.4057371e-03 7.1236926e-01 2.7797365e-01 4.4099591e-03 2.4981743e-03
 9.6388505e-04 2.7809557e-04 7.5350334e-05 2.5920510e-05]"
detected_faces\502_face0.jpg,White,White,Female,0-2,"[9.6581346e-01 1.3475814e-04 2.8188915e-03 2.0981899e-02 2.7272380e-03
 7.8212091e-05 7.4456041e-03]",[9.9051553e-01 2.1002568e-05 9.3644504e-03 9.9030032e-05],[0.39481625 0.6051838 ],"[5.3564829e-01 4.5748204e-01 4.1578375e-03 1.0564195e-03 8.0877100e-04
 5.0588907e-04 2.2788359e-04 7.2559713e-05 4.0336137e-05]"
detected_faces\503_face0.jpg,Southeast Asian,Asian,Female,10-19,"[0.09729527 0.05409727 0.20846507 0.2817001  0.34529468 0.00615465
 0.00699299]",[0.18087    0.02555987 0.7890827  0.00448743],[0.04669591 0.9533041 ],"[4.3360522e-04 2.0698701e-01 5.0783217e-01 2.0662978e-01 6.5169312e-02
 1.1508186e-02 1.2273318e-03 1.7268707e-04 3.9929051e-05]"
detected_faces\504_face0.jpg,East Asian,Asian,Female,20-29,"[8.2405232e-04 1.5955235e-04 4.6385247e-03 9.2094266e-01 7.2224803e-02
 8.5364742e-04 3.5673718e-04]",[6.1540963e-04 3.2290872e-04 9.9890494e-01 1.5678201e-04],[0.00324019 0.99675983],"[3.72033128e-07 1.15643910e-04 8.10968280e-02 8.00034463e-01
 1.16145216e-01 2.58397521e-03 2.18753212e-05 1.60905176e-06
 3.46745743e-08]"
detected_faces\505_face0.jpg,East Asian,Asian,Male,3-9,"[2.5866548e-02 8.5373707e-05 5.2651409e-02 8.6422843e-01 4.2307522e-02
 6.0089317e-04 1.4259882e-02]",[7.9289690e-04 5.4750776e-06 9.9917978e-01 2.1754075e-05],[0.58722675 0.41277322],"[4.1288699e-04 6.0762119e-01 3.6601627e-01 1.3373480e-02 8.4934821e-03
 3.3462655e-03 5.4482574e-04 1.7119249e-04 2.0485491e-05]"
detected_faces\506_face0.jpg,Indian,Indian,Male,0-2,"[0.00912311 0.01922837 0.04364024 0.03619947 0.09580059 0.79055035
 0.00545786]",[0.0197487  0.02625636 0.2721908  0.6818041 ],[0.66310334 0.3368966 ],"[7.4656135e-01 2.5034323e-01 1.2160221e-03 6.5760250e-04 8.1126118e-04
 3.2750651e-04 6.3394858e-05 1.6215910e-05 3.3864817e-06]"
detected_faces\507_face0.jpg,Middle Eastern,Indian,Male,30-39,"[0.14580834 0.00228825 0.37374863 0.00112346 0.00255436 0.05434642
 0.42013058]",[0.4097265  0.04799043 0.00324211 0.539041  ],[9.9996525e-01 3.4740955e-05],"[4.8606159e-07 1.3885781e-05 7.1069738e-03 3.1800997e-01 5.7731134e-01
 9.5276840e-02 2.2391502e-03 4.0046772e-05 1.3159582e-06]"
detected_faces\508_face0.jpg,Middle Eastern,Indian,Female,3-9,"[8.6351305e-02 7.7115193e-02 3.0196297e-01 3.0417964e-04 6.2113954e-04
 1.1118051e-01 4.2246476e-01]",[0.48753294 0.0113482  0.00082726 0.5002916 ],[0.03700887 0.9629912 ],"[3.73810210e-04 7.62775838e-01 2.32490450e-01 3.63722933e-03
 6.05396053e-04 1.03355655e-04 1.14822615e-05 2.21507958e-06
 3.47505534e-07]"
detected_faces\509_face0.jpg,East Asian,Asian,Female,20-29,"[9.5704112e-05 4.7048225e-06 3.0644992e-04 8.7013882e-01 1.2941016e-01
 2.9582025e-05 1.4621660e-05]",[2.8324142e-04 2.2099964e-06 9.9968386e-01 3.0667834e-05],[0.005374 0.994626],"[7.0232741e-06 5.5475077e-03 3.7855142e-01 5.7862300e-01 3.5468139e-02
 1.7609722e-03 3.6212357e-05 5.3524600e-06 4.0033456e-07]"
detected_faces\50_face0.jpg,Black,Asian,Female,60-69,"[0.01011779 0.41635847 0.12073048 0.06332247 0.2987345  0.04826011
 0.04247626]",[0.00213403 0.3568642  0.6346663  0.00633547],[0.09020475 0.9097952 ],"[3.1256419e-05 6.0283448e-05 3.9430775e-04 1.8037882e-03 1.6006745e-02
 1.2050940e-01 3.3181202e-01 4.0249413e-01 1.2688805e-01]"
detected_faces\510_face0.jpg,East Asian,Asian,Male,3-9,"[4.3292213e-03 9.0861868e-05 8.6052679e-03 9.1656721e-01 7.0183724e-02
 1.0260457e-04 1.2108536e-04]",[0.0071923  0.00138716 0.9900321  0.00138851],[0.99338573 0.00661431],"[2.02865456e-03 9.51748669e-01 4.59485389e-02 1.07463762e-04
 7.71374034e-05 4.85127639e-05 1.88738886e-05 1.50627675e-05
 7.11477833e-06]"
detected_faces\511_face0.jpg,White,White,Male,20-29,"[0.436453   0.01339786 0.25354862 0.0009767  0.00178845 0.01553563
 0.27829978]",[0.7627504  0.07359937 0.01756606 0.1460843 ],[0.9865919  0.01340811],"[3.9578565e-05 9.6763292e-04 3.7049595e-02 4.9223298e-01 3.4532821e-01
 1.0970478e-01 1.3190274e-02 1.2640144e-03 2.2298226e-04]"
detected_faces\512_face0.jpg,East Asian,Asian,Female,20-29,"[1.23528473e-03 5.59618114e-04 1.27193015e-02 5.38339138e-01
 4.46135551e-01 3.66351916e-04 6.44735061e-04]",[0.00443061 0.00142694 0.9930166  0.00112586],[0.00120714 0.9987929 ],"[8.2356473e-07 6.1167693e-03 3.7359709e-01 5.8090127e-01 3.7738223e-02
 1.6205962e-03 2.3345550e-05 1.8564381e-06 1.5557407e-07]"
detected_faces\513_face0.jpg,Indian,Asian,Female,10-19,"[0.00986105 0.03049953 0.24657297 0.0758278  0.2446918  0.3836563
 0.00889049]",[0.03105767 0.04435204 0.85329926 0.07129094],[0.38053071 0.6194693 ],"[2.4341825e-06 1.3902797e-02 7.8895819e-01 1.8754070e-01 9.3162684e-03
 2.7478850e-04 4.4843473e-06 3.2492127e-07 2.0915458e-08]"
detected_faces\514_face0.jpg,White,White,Female,20-29,"[9.9554014e-01 1.4445948e-04 7.7558175e-04 1.7575346e-04 1.1686192e-04
 1.1193764e-04 3.1353480e-03]",[0.9399822  0.01625908 0.02470351 0.01905523],[0.0161642 0.9838358],"[6.3047341e-06 6.3029239e-03 3.1490055e-01 5.9527880e-01 8.1862494e-02
 1.6049215e-03 4.2065789e-05 1.6153584e-06 2.7425824e-07]"
detected_faces\515_face0.jpg,White,White,Male,60-69,"[9.9343675e-01 6.3427325e-07 1.7089385e-05 6.6623084e-05 2.4800054e-05
 3.0464939e-06 6.4509464e-03]",[9.9877316e-01 2.0843518e-06 1.2181918e-03 6.5735339e-06],[9.9952912e-01 4.7088767e-04],"[7.6767574e-05 3.5203331e-05 1.8147791e-04 3.1823528e-04 2.3734628e-03
 2.8030775e-02 2.7905509e-01 5.5454093e-01 1.3538809e-01]"
detected_faces\516_face0.jpg,Black,Black,Male,3-9,"[3.2747839e-06 9.9655223e-01 1.2664332e-04 1.4130540e-04 2.1991979e-03
 9.7677705e-04 6.5191108e-07]",[1.6317397e-05 9.9464679e-01 4.6840315e-03 6.5297919e-04],[0.8031279 0.1968721],"[3.2928832e-02 8.9427018e-01 6.8593793e-02 3.0134649e-03 8.5855002e-04
 2.9123024e-04 3.7960959e-05 3.8311755e-06 2.1655135e-06]"
detected_faces\517_face0.jpg,Black,Black,Male,3-9,"[4.3299911e-03 8.9720958e-01 7.4263595e-02 6.8785221e-04 4.5995642e-03
 1.5771525e-02 3.1378625e-03]",[0.00719658 0.94119805 0.01805976 0.03354558],[0.64072603 0.35927394],"[1.38119562e-03 8.38075221e-01 1.56175911e-01 3.56120942e-03
 6.78174780e-04 1.16329924e-04 9.50236881e-06 1.92821972e-06
 5.79978860e-07]"
detected_faces\518_face0.jpg,East Asian,Asian,Male,3-9,"[5.9348114e-02 7.6999349e-06 2.7574808e-03 9.1167039e-01 1.9684114e-02
 2.3765584e-04 6.2945513e-03]",[4.3261096e-02 2.0567018e-04 9.5452106e-01 2.0121243e-03],[0.8462366 0.1537634],"[1.1076231e-01 8.8097942e-01 7.1169580e-03 5.0194631e-04 4.0075663e-04
 1.6402798e-04 5.2325955e-05 1.8899829e-05 3.3486454e-06]"
detected_faces\519_face0.jpg,Middle Eastern,White,Female,20-29,"[0.11990809 0.0094512  0.20220342 0.017283   0.0376333  0.02626451
 0.5872565 ]",[0.626339   0.01872969 0.07924156 0.27568975],[0.00531565 0.9946844 ],"[2.3085183e-06 2.3519194e-04 2.6931118e-02 5.2846432e-01 4.0682682e-01
 3.6004450e-02 1.4688468e-03 6.4435029e-05 2.5875761e-06]"
detected_faces\51_face0.jpg,East Asian,Asian,Female,3-9,"[1.4863766e-03 1.3452807e-05 2.1140354e-03 9.2261964e-01 7.3506333e-02
 1.7903204e-04 8.1108752e-05]",[4.8835942e-04 4.3914079e-05 9.9887294e-01 5.9484900e-04],[0.00803308 0.9919669 ],"[7.8549413e-03 9.8138404e-01 9.4749322e-03 9.4289880e-04 2.6853607e-04
 6.5011111e-05 6.9875036e-06 2.1689143e-06 5.1085789e-07]"
detected_faces\520_face0.jpg,Middle Eastern,White,Male,20-29,"[3.8678798e-01 2.9898333e-04 1.1172144e-01 7.4965875e-03 5.1662717e-03
 1.0413113e-03 4.8748741e-01]",[9.3187809e-01 2.2000643e-04 6.5393284e-02 2.5086731e-03],[9.9988222e-01 1.1781048e-04],"[1.0114130e-07 1.3704995e-05 8.3137505e-02 7.8813684e-01 1.2543252e-01
 3.2463493e-03 3.1487940e-05 1.4447196e-06 2.6837757e-08]"
detected_faces\521_face0.jpg,Latino_Hispanic,White,Male,20-29,"[0.20341377 0.01552064 0.4805247  0.00677569 0.02145289 0.02855696
 0.24375539]",[0.7124805  0.04414231 0.06421362 0.1791636 ],[0.7008545  0.29914546],"[1.6358968e-06 1.1565919e-04 6.6034384e-02 6.8148369e-01 2.3412435e-01
 1.7394360e-02 7.6994288e-04 6.7440989e-05 8.5633319e-06]"
detected_faces\522_face0.jpg,Indian,Indian,Male,20-29,"[4.3805176e-04 3.9443639e-05 9.7654322e-03 4.8524412e-06 3.1970345e-04
 9.7957689e-01 9.8555572e-03]",[2.1214515e-04 1.3919469e-04 3.5326145e-04 9.9929547e-01],[9.9997765e-01 2.2327535e-05],"[9.11926463e-08 2.00868417e-05 1.46307135e-02 6.46882653e-01
 3.09709907e-01 2.84680426e-02 2.82753783e-04 5.50453478e-06
 2.31119429e-07]"
detected_faces\523_face0.jpg,White,White,Female,20-29,"[9.9870420e-01 2.1414381e-08 2.3995315e-05 3.8222411e-06 2.0155414e-06
 2.9294088e-07 1.2656058e-03]",[9.9989277e-01 1.6355682e-06 9.8185119e-05 7.3870783e-06],[2.6693215e-04 9.9973309e-01],"[2.1917973e-08 5.0125714e-06 9.1898507e-03 6.6303402e-01 3.1324241e-01
 1.4410367e-02 1.1667277e-04 1.6941499e-06 3.2026115e-08]"
detected_faces\524_face0.jpg,White,White,Female,30-39,"[9.6817547e-01 2.9763121e-05 1.3517067e-03 1.8828536e-05 3.0828076e-05
 1.9778945e-05 3.0373633e-02]",[9.9921697e-01 3.6992240e-04 3.5691349e-04 5.6127705e-05],[6.2557840e-04 9.9937445e-01],"[2.6498040e-07 3.9032559e-05 2.2148116e-02 4.0640518e-01 5.0051671e-01
 6.9741219e-02 1.1263986e-03 2.2458322e-05 5.8486279e-07]"
detected_faces\525_face0.jpg,Black,Black,Male,30-39,"[6.7537109e-04 9.9232429e-01 1.5134630e-03 1.4693452e-05 2.2190523e-05
 3.3106257e-03 2.1393679e-03]",[2.5002100e-04 9.9910772e-01 6.9821464e-05 5.7250593e-04],[0.97241956 0.02758046],"[0.00040713 0.01289705 0.05338578 0.14831263 0.33702013 0.2288958
 0.17824161 0.03634122 0.00449866]"
detected_faces\526_face0.jpg,Black,Black,Female,40-49,"[1.3932702e-04 9.7361028e-01 2.4159655e-02 4.3280434e-05 9.9665613e-04
 5.6425866e-04 4.8647399e-04]",[2.3307277e-04 9.9706507e-01 1.6824730e-03 1.0193367e-03],[0.00168139 0.9983186 ],"[1.03763637e-06 1.13129745e-05 5.54326631e-04 1.21900747e-02
 2.51881689e-01 6.14901423e-01 1.16328984e-01 4.07111086e-03
 6.00426756e-05]"
detected_faces\527_face0.jpg,Black,Black,Male,20-29,"[2.0632433e-05 9.9872440e-01 2.1372983e-04 7.3469806e-07 6.0746911e-06
 9.9504937e-04 3.9300510e-05]",[7.5265598e-06 9.9969900e-01 1.7692253e-06 2.9162600e-04],[0.97052073 0.02947924],"[8.9937942e-07 2.8981591e-04 8.8036731e-02 7.3534077e-01 1.6933152e-01
 6.8738507e-03 1.2204563e-04 4.0682380e-06 2.7189188e-07]"
detected_faces\528_face0.jpg,White,White,Male,30-39,"[5.7468462e-01 3.9891212e-04 1.4654605e-01 5.5944186e-04 1.5110752e-03
 1.8886484e-02 2.5741348e-01]",[0.97524047 0.00123783 0.00177041 0.0217513 ],[0.99868643 0.00131353],"[7.5255980e-07 2.3491684e-05 2.8928376e-03 1.7526741e-01 5.7646215e-01
 2.2873467e-01 1.6359707e-02 2.5078247e-04 8.1619746e-06]"
detected_faces\529_face0.jpg,Southeast Asian,Asian,Female,10-19,"[0.00908403 0.00137707 0.29877123 0.19433379 0.4123491  0.07618345
 0.00790127]",[1.6599348e-03 7.6854578e-04 9.5312637e-01 4.4445232e-02],[0.2930098  0.70699024],"[2.0548499e-05 1.4426495e-01 7.7741796e-01 7.5789124e-02 2.4388037e-03
 6.7424982e-05 9.9039789e-07 2.0520885e-07 1.4636810e-08]"
detected_faces\52_face0.jpg,White,White,Male,50-59,"[0.3639568  0.06945141 0.33130103 0.00496628 0.01981141 0.09895103
 0.11156198]",[0.71138287 0.22338283 0.01080835 0.05442594],[9.997499e-01 2.500688e-04],"[3.4164190e-05 3.1211373e-05 2.7377921e-04 7.5360655e-04 8.2677314e-03
 1.4366642e-01 6.3736594e-01 2.0229757e-01 7.3095961e-03]"
detected_faces\530_face0.jpg,White,White,Female,20-29,"[0.48377806 0.00190754 0.20784475 0.00073361 0.00102681 0.02117953
 0.28352976]",[0.8732682  0.00247311 0.00219924 0.12205953],[0.1471014 0.8528986],"[6.7278002e-06 3.8966737e-03 2.9360422e-01 5.7977617e-01 1.1635557e-01
 6.2183235e-03 1.3370079e-04 7.7563964e-06 7.9525211e-07]"
detected_faces\531_face0.jpg,Latino_Hispanic,Indian,Male,3-9,"[0.02668185 0.1027441  0.60467803 0.00387685 0.03318111 0.21556585
 0.01327225]",[0.00805673 0.19824389 0.01247773 0.7812216 ],[0.80158126 0.1984187 ],"[1.1152069e-03 7.5623989e-01 2.3877007e-01 3.3716972e-03 4.4832155e-04
 5.1428760e-05 2.7812926e-06 5.0349104e-07 9.5801518e-08]"
detected_faces\532_face0.jpg,Indian,Black,Female,20-29,"[7.2821178e-03 2.0604782e-01 1.7817397e-01 5.2353588e-04 1.3482364e-02
 5.8077317e-01 1.3717097e-02]",[0.00967089 0.49654    0.02456427 0.46922484],[0.04819376 0.95180625],"[1.3380738e-07 1.8667491e-04 1.6841067e-01 6.9635946e-01 1.2867858e-01
 6.2646964e-03 9.6533811e-05 3.0574997e-06 1.7273260e-07]"
detected_faces\533_face0.jpg,Black,Black,Female,3-9,"[6.6449611e-05 9.9865520e-01 7.2291598e-04 1.4433511e-05 6.6977918e-05
 4.1760851e-04 5.6453828e-05]",[5.0695016e-05 9.9925596e-01 1.2292071e-04 5.7041616e-04],[0.3433973  0.65660274],"[5.6598703e-03 3.7782446e-01 2.9044560e-01 2.8628182e-01 3.6786072e-02
 2.8293098e-03 1.6319212e-04 8.1461003e-06 1.5855452e-06]"
detected_faces\534_face0.jpg,East Asian,Asian,Male,30-39,"[0.03240062 0.01034485 0.10117636 0.5232061  0.32768908 0.00081399
 0.00436895]",[0.44347352 0.00511593 0.539396   0.01201465],[0.8576414  0.14235862],"[4.4090073e-05 6.2895758e-04 4.3463949e-03 1.4403854e-01 5.6295091e-01
 2.5534290e-01 2.9727817e-02 2.5847380e-03 3.3560485e-04]"
detected_faces\535_face0.jpg,Latino_Hispanic,Indian,Female,30-39,"[3.48324478e-02 4.07255620e-01 4.17881399e-01 2.29098863e-04
 1.75617007e-03 1.10710055e-01 2.73351576e-02]",[0.08262271 0.3177864  0.00136632 0.59822464],[0.00714426 0.9928558 ],"[1.2496338e-06 5.0162715e-05 1.0885114e-02 2.9730418e-01 4.9995768e-01
 1.7306177e-01 1.7905891e-02 8.0689992e-04 2.7135133e-05]"
detected_faces\536_face0.jpg,East Asian,White,Male,20-29,"[0.00617242 0.01739719 0.03487909 0.55695957 0.3747572  0.00143616
 0.00839834]",[0.81010056 0.03336091 0.14928427 0.00725429],[9.9944293e-01 5.5708067e-04],"[9.9654892e-07 4.4434814e-04 1.2201891e-01 6.5760034e-01 1.9258030e-01
 2.5481755e-02 1.7604033e-03 1.0994963e-04 3.0215854e-06]"
detected_faces\538_face0.jpg,Middle Eastern,White,Female,50-59,"[3.2312822e-01 4.1174595e-03 1.4705529e-02 1.8876733e-04 2.5820787e-04
 4.6498715e-03 6.5295196e-01]",[9.9693245e-01 8.9844834e-04 2.9603820e-04 1.8731498e-03],[0.27549386 0.72450614],"[5.6723538e-06 4.9425969e-05 1.0115141e-03 2.2091610e-02 1.3917844e-01
 3.4133220e-01 3.6017907e-01 1.1777356e-01 1.8378586e-02]"
detected_faces\539_face0.jpg,East Asian,Asian,Male,20-29,"[6.4815991e-03 1.3391068e-03 1.1168351e-02 6.3971823e-01 3.3987102e-01
 5.0385325e-04 9.1784552e-04]",[1.1050789e-02 5.5604742e-04 9.8738849e-01 1.0046441e-03],[9.992620e-01 7.380116e-04],"[1.5481892e-06 6.0312916e-05 2.5040762e-02 6.6619724e-01 2.7635428e-01
 3.0132232e-02 2.0173802e-03 1.8540304e-04 1.0795365e-05]"
detected_faces\539_face1.jpg,White,White,Male,3-9,"[0.84175485 0.00713941 0.0306268  0.00981654 0.01890734 0.00302585
 0.08872929]",[0.75427675 0.05351639 0.18050039 0.01170642],[0.8982785 0.1017215],"[2.9522926e-01 6.9151443e-01 8.7012397e-03 6.1347720e-04 1.0223946e-03
 1.3193043e-03 7.7048712e-04 4.3127430e-04 3.9817678e-04]"
detected_faces\53_face0.jpg,Southeast Asian,Asian,Male,50-59,"[6.9178449e-04 6.7457162e-02 2.2107657e-02 3.4095648e-01 5.6558579e-01
 2.8997352e-03 3.0131542e-04]",[0.00795278 0.02490212 0.9423075  0.02483759],[9.9991506e-01 8.4928033e-05],"[1.2827779e-05 5.7582489e-05 6.0571783e-04 1.8699381e-03 1.5816011e-02
 1.5594023e-01 5.0312966e-01 2.9803136e-01 2.4536632e-02]"
detected_faces\540_face0.jpg,Black,White,Male,30-39,"[1.7019510e-01 3.2603374e-01 2.7359411e-01 2.5810409e-04 8.8776823e-04
 1.8879464e-02 2.1015172e-01]",[0.74566597 0.20866667 0.00077092 0.04489642],[9.999381e-01 6.194231e-05],"[2.3682496e-06 6.5852064e-06 3.7848848e-04 8.3281085e-02 6.7109627e-01
 2.3591773e-01 9.1173612e-03 1.9217156e-04 7.9366273e-06]"
detected_faces\542_face0.jpg,Middle Eastern,White,Male,30-39,"[0.24378015 0.01320612 0.30350173 0.00107913 0.0014251  0.00798185
 0.42902598]",[0.82875973 0.03971191 0.00224966 0.12927876],[9.9989408e-01 1.0588127e-04],"[5.98219867e-06 3.96294272e-05 1.96277746e-03 9.69602466e-02
 6.86488509e-01 2.07183257e-01 7.24598439e-03 1.11650435e-04
 1.98051453e-06]"
detected_faces\543_face0.jpg,White,White,Male,30-39,"[0.45834893 0.00091154 0.1202627  0.00263462 0.00238971 0.00127553
 0.4141769 ]",[0.98229074 0.00174837 0.01320166 0.00275923],[9.9999911e-01 9.1413455e-07],"[3.13115351e-07 5.77387982e-06 2.45750789e-03 3.29117984e-01
 5.59101701e-01 1.04632363e-01 4.56148619e-03 1.21262674e-04
 1.57703721e-06]"
detected_faces\544_face0.jpg,Indian,Indian,Female,20-29,"[4.2405156e-03 1.8693316e-01 1.8461359e-01 5.6879572e-04 8.1038978e-03
 6.1207467e-01 3.4654550e-03]",[0.0025481  0.05489085 0.03531091 0.90725017],[0.03416263 0.96583736],"[1.3777495e-07 2.2079634e-04 8.7102212e-02 8.6428827e-01 4.7837049e-02
 5.4767996e-04 3.7054826e-06 1.2522666e-07 4.1706878e-09]"
detected_faces\545_face0.jpg,White,Asian,Female,30-39,"[0.58496404 0.01292141 0.14047307 0.07007422 0.05009636 0.00080328
 0.1406676 ]",[0.18215959 0.02885475 0.7863343  0.00265132],[0.00129205 0.99870795],"[6.7015308e-06 2.6201361e-04 1.2716154e-02 3.2373539e-01 4.7033367e-01
 1.7146748e-01 2.0526484e-02 9.2032831e-04 3.1889347e-05]"
detected_faces\546_face0.jpg,Indian,Indian,Male,30-39,"[0.00144013 0.00290764 0.22185312 0.04280373 0.17612739 0.552746
 0.00212195]",[0.01149964 0.01688398 0.12982313 0.84179324],[9.9988037e-01 1.1957937e-04],"[2.0572149e-06 3.4771383e-05 6.1762873e-03 1.3239892e-01 4.3341231e-01
 3.8312641e-01 4.2355414e-02 2.4499367e-03 4.3838205e-05]"
detected_faces\547_face0.jpg,Latino_Hispanic,White,Male,30-39,"[1.9995390e-01 1.1394854e-02 5.4841948e-01 4.3603536e-04 2.5057327e-03
 3.1300113e-02 2.0598982e-01]",[0.63726    0.19846582 0.01531293 0.14896126],[9.9997604e-01 2.3996743e-05],"[2.3702773e-06 1.3144238e-05 1.5718385e-03 1.2504984e-01 6.9072855e-01
 1.7623365e-01 6.2681343e-03 1.2973399e-04 2.6728164e-06]"
detected_faces\548_face0.jpg,East Asian,Asian,Female,20-29,"[1.80897288e-04 1.40902675e-05 1.22360466e-03 5.65210223e-01
 4.33113784e-01 1.93174201e-04 6.42833911e-05]",[5.6362303e-04 6.5145257e-05 9.9903655e-01 3.3465683e-04],[0.00716101 0.99283904],"[1.0221582e-06 1.2160860e-03 7.7671081e-02 7.5112748e-01 1.6230191e-01
 7.5723981e-03 1.0444137e-04 5.4424145e-06 2.0062085e-07]"
detected_faces\549_face0.jpg,White,White,Male,30-39,"[7.9576623e-01 2.1062588e-04 1.6325587e-01 6.5776396e-05 1.0159825e-04
 1.6356850e-03 3.8964260e-02]",[9.9764985e-01 3.9413226e-05 9.1944989e-05 2.2187931e-03],[9.9961275e-01 3.8725589e-04],"[2.5418278e-06 3.7705493e-05 6.4659687e-03 1.3562711e-01 5.8624536e-01
 2.5589317e-01 1.5534594e-02 1.9046318e-04 3.0763538e-06]"
detected_faces\54_face0.jpg,Southeast Asian,Asian,Female,40-49,"[1.1772166e-03 1.1087545e-03 1.9130429e-02 3.4405288e-01 6.2902647e-01
 5.0211651e-03 4.8312565e-04]",[3.0064641e-04 4.1657392e-04 9.9383885e-01 5.4439506e-03],[0.2011762  0.79882383],"[0.00048059 0.00839114 0.02158936 0.02952453 0.19392514 0.34663987
 0.3218672  0.07045359 0.00712858]"
detected_faces\550_face0.jpg,Middle Eastern,Indian,Male,50-59,"[0.06256596 0.01792972 0.16735218 0.00122493 0.00753119 0.09540401
 0.647992  ]",[0.10771059 0.16801687 0.02996769 0.6943048 ],[0.98427224 0.01572774],"[1.3551050e-05 1.6093446e-04 8.0409572e-03 3.7057560e-02 1.3385820e-01
 3.2645506e-01 3.3971918e-01 1.3265800e-01 2.2036586e-02]"
detected_faces\550_face1.jpg,Black,Black,Male,30-39,"[0.0206877  0.44508678 0.11133367 0.00149786 0.00674671 0.33658317
 0.07806408]",[0.00150924 0.86128217 0.04133224 0.09587638],[0.94971925 0.05028074],"[3.1044611e-04 7.1664727e-03 3.6293969e-02 1.5496051e-01 4.7193277e-01
 2.5674877e-01 6.7463838e-02 4.8057348e-03 3.1746281e-04]"
detected_faces\551_face0.jpg,Middle Eastern,White,Male,30-39,"[5.2393384e-02 2.3635561e-03 1.9635899e-01 3.5815709e-04 1.4695986e-03
 2.0247186e-02 7.2680908e-01]",[0.8211836  0.01785306 0.05406442 0.10689899],[0.99878585 0.00121414],"[3.0893468e-06 3.4789115e-05 6.2637012e-03 2.4909243e-01 5.3029782e-01
 2.0121013e-01 1.2693961e-02 3.8963612e-04 1.4382674e-05]"
detected_faces\552_face0.jpg,Southeast Asian,Asian,Male,50-59,"[0.01146978 0.17540887 0.18004133 0.0695708  0.5186952  0.04366487
 0.0011492 ]",[0.05077853 0.1048964  0.6655661  0.17875901],[0.9936326  0.00636732],"[6.9457851e-06 4.4559554e-05 8.3864282e-04 5.7982407e-03 3.2456841e-02
 2.5278696e-01 6.2202239e-01 8.0535851e-02 5.5094343e-03]"
